text,label,label_text,llama31_simple,llama31_advanced,llama31_conservative,mistral7b_simple,mistral7b_advanced,mistral7b_conservative
i realized what i am passionate about helping women feel accepted and appreciated,1,joy,love,,love,joy,joy,joy
i feel transcendant and splendid,1,joy,joy,,joy,joy,joy,joy
i feel a lot of affection for you that is longing to be conveyed,2,love,love,,love,love,love,love
i do not feel assured,1,joy,sadness,,sadness,sadness,sadness,
i have some pretty brazen goals and each day i feel stronger and more confident that i m going to reach my desired end result,1,joy,joy,,joy,joy,joy,joy
i feel like a naughty school girl because i am falling behind,2,love,sadness,,sadness,sadness,sadness,sadness
i feel disillusioned with the occult so i have come to feel a greater connection to the earth,0,sadness,sadness,,sadness,sadness,sadness,sadness
im feeling and if ive liked being pregnant,2,love,sadness,,sadness,joy,sadness,joy
i have a feeling that its too sociable,1,joy,sadness,,sadness,,joy,joy
i basically spent a miserable night crying and feeling terrified and sick to my stomach,4,fear,sadness,,fear,fear,fear,fear
i am up and ready to read read read today even though im feeling very groggy this morning,0,sadness,joy,,joy,joy,joy,joy
i have asthma and when i can barely breathe when it s hard i feel very shaky and weak i feel like not doing anything but lie there helplessly and i feel like collapesing i did so much reseach and i got nothing,4,fear,sadness,,sadness,fear,sadness,fear
i sat up to embrace them and realised that two hours spent shaking my thang in an eighties bar celebrating the fact i am one year closer to death had left my ageing body feeling punished and my normally pink feet blackened,0,sadness,sadness,,sadness,,sadness,
im starting to feel really pathetic giving the bulk of my enthusiasm these days to the kardashians us weekly and roseanne marathons and completely ignoring this blog,0,sadness,sadness,,sadness,sadness,sadness,sadness
i honestly wish christmas was celebrated in the summer because i feel like i tend not be as jolly as i wish i could be,1,joy,sadness,,sadness,,joy,sadness
ive never done a detox or cleanse before and i really had no desire to i feel like cleanses cycle around and become popular every couple of years and id pretty much written them off,1,joy,anger,,anger,anger,anger,anger
i just feel so virtuous when we go on a fieldtrip,1,joy,joy,,joy,joy,joy,joy
i listen to the advice of my eating disorder will i actually feel better,1,joy,sadness,,sadness,sadness,sadness,
i am feeling very indecisive and spontaneous,4,fear,sadness,,sadness,,joy,joy
im feeling really out of place and irritated,3,anger,anger,,anger,,anger,anger
im feeling more lively than yesterday still not sure about food though,1,joy,joy,,joy,joy,joy,joy
i feel completely burdened with my own intelligence,0,sadness,sadness,,sadness,sadness,sadness,sadness
i can feel the rebellious spirit already,3,anger,anger,,anger,anger,joy,anger
i want each of you to feel my gentle embrace,2,love,love,,love,love,love,love
i like being in church on sundays it makes me feel more virtuous how self effacing and more settled for the week ahead,1,joy,joy,,joy,joy,joy,joy
i feel even more determined to keep up our once per week tradition that my son started,1,joy,joy,,love,joy,joy,joy
i exactly feel whenever i feel lonely or depressed and then i pray to him for help and guidance a href http,0,sadness,sadness,,sadness,,sadness,sadness
i dont want to always be judgmental of particular men or scenarios that i often see in this area but with so much trafficking forced sex work and what basically amounts to slavery its hard not to feel slightly embittered and disillusioned,0,sadness,sadness,,sadness,anger,anger,anger
i feel as though it is worthwhile and career wise,1,joy,joy,,joy,joy,joy,
i would do almost anything to have that feeling back and those days back they were carefree and wonderful and now everything in my life is just so complicated,1,joy,sadness,,sadness,sadness,sadness,sadness
i feel so greedy so needy so helpless,3,anger,sadness,,sadness,anger,sadness,sadness
ive been missing him and feeling so restless at home thinking of him,4,fear,sadness,,sadness,sadness,sadness,sadness
i do feel proud and happy and also very grateful to all who read me,1,joy,joy,,joy,joy,joy,joy
im much more peaceful and happy when the house is clean the food is good and my kids arent feeling needy,0,sadness,joy,,joy,joy,joy,joy
im feeling greedy for right now,3,anger,anger,,joy,,joy,joy
i entered the office though feeling the monday blues with a joyful and serene spirit dominating,1,joy,joy,,joy,joy,joy,love
i wish i could bottle her squeals of delight and take them out whenever im feeling grumpy,3,anger,joy,,joy,joy,joy,joy
ive left the orange scented mixture white but feel free to color it if you wish,1,joy,,,joy,,joy,
i was cooking my dinner feeling pretty melancholy when zane lowe gave it the first spin on his radio one show on tuesday and the song matched my mood perfectly,0,sadness,sadness,,sadness,sadness,sadness,sadness
i have a feeling i will be dissatisfied several times,3,anger,sadness,,sadness,sadness,sadness,sadness
i assumed it would feel casual,1,joy,sadness,,sadness,,joy,
i don t have the feeling of divine vibrations,1,joy,sadness,,sadness,,sadness,sadness
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,1,joy,joy,,joy,joy,joy,joy
i feel so worthless and useless these past weeks just because im a certified by stander at home,0,sadness,sadness,,sadness,sadness,sadness,sadness
i am trying my hardest so i can get to a place where i can join you and finally feel like i have something worthwhile to say,1,joy,sadness,,sadness,sadness,love,sadness
im happy but i feel all this pressure to do one thing or another amp it makes me unhappy,0,sadness,sadness,,sadness,joy,sadness,anger
i feel no positive regard,1,joy,sadness,,sadness,sadness,sadness,sadness
i can choose to tell the whole word what im feeling now or just fake it with some happy stories,0,sadness,sadness,,sadness,sadness,sadness,sadness
i know what it feels like to be scared into something,4,fear,fear,,fear,fear,fear,fear
i feel so blessed to be married to him because he loves his stepchildren,1,joy,love,,love,joy,joy,joy
i don t know about you but i m feeling amp blessed,1,joy,joy,,joy,joy,joy,joy
i remember feeling envious but then why would a young healthy person envy someone who s just barely survived,3,anger,sadness,,sadness,sadness,sadness,
i can easily feel quite pressured by routines and i really noticed the difference while i was away,4,fear,sadness,,sadness,sadness,sadness,fear
i don t feel comfortable playing games with them presenting the bad guy as really a misunderstood good guy or vice versa,1,joy,anger,,anger,anger,anger,
i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,1,joy,sadness,,sadness,sadness,joy,love
im feeling ecstatic about right now the classy ever after redesign project begins this week,1,joy,joy,,joy,joy,joy,joy
i should pull out if i feel resentful or edgy,3,anger,anger,,anger,anger,anger,anger
i loved about ellie is that she didnt feel insulted by all the rude douche baggy things lothaire said to her because according to ellie insults only hurt when they come from somebody you respect damn straight,3,anger,joy,,joy,joy,joy,joy
i do is priceless and i feel so honoured for every mum and dad who trusts me with their new arrival,1,joy,love,joy,love,,joy,joy
i feel unimportant when he spends nights out with sara and i get no phone call,0,sadness,sadness,,sadness,sadness,sadness,sadness
i might do so simply because i couldnt keep my mouth shut makes me feel terrible,0,sadness,sadness,,sadness,sadness,sadness,sadness
i was feeling a bit jaded that day but told myself why the hell not,0,sadness,anger,,anger,joy,joy,
i feel pressured to do well and i fe,4,fear,sadness,anger,sadness,,fear,fear
i feel a little scared about this because it is new to me and i have a lot to learn but im sure everything is going to be fine and we can do this together,4,fear,fear,,fear,,fear,fear
i feel he is a terrific actor,1,joy,joy,joy,joy,joy,joy,joy
i might hold a sense of satisfaction at feeling superior and giving advice,1,joy,anger,,anger,sadness,joy,
i feel beaten down and i feel void,0,sadness,sadness,,sadness,sadness,sadness,sadness
i dont know if i feel thrilled at finally getting to go camping again with people i like and know first time where thats happened,1,joy,joy,,joy,joy,joy,joy
i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,3,anger,anger,,anger,,anger,
i is desperate for kareena akshay kumar will play a double role in flash forward minissha says i still feel today amisha patel in a glamorous avtaar,1,joy,,,joy,anger,joy,anger
i continue to feel so content about our decision to move here,1,joy,joy,,joy,joy,joy,joy
i feel like we are doomed us humans,0,sadness,sadness,,sadness,sadness,sadness,sadness
im not the one who feel bothered about this,3,anger,anger,,anger,anger,anger,
im feeling very doubtful about the necessity of that big coat,4,fear,sadness,,sadness,,fear,fear
i feel so amazing musicjuzz,1,joy,joy,joy,joy,joy,joy,joy
i also baked enough cookies to take to my local bbw tomorrow night i feel so bad for the employees who have to work,0,sadness,sadness,,sadness,sadness,sadness,sadness
i could feel his breath on me and smell the sweet scent of him,1,joy,love,love,love,love,love,
i look at their situation and feel so so jealous that i almost cant bear it,3,anger,anger,,anger,,sadness,anger
i stand in front of mansoor s works i feel obviously that the artistic intention is not to raise the already raised questions of structural linguistics and the deconstructionist clamours that followed it,1,joy,anger,,anger,,anger,
i receive every month make me proud and feel appreciative,1,joy,joy,,joy,joy,joy,joy
i am feeling depressed cursing my luck,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,2,love,sadness,,sadness,love,love,
i have to take jenny in to be spayed so of course im feeling nervous and guilty,4,fear,sadness,anger,sadness,fear,fear,fear
i feel very indecisive about it,4,fear,sadness,,sadness,sadness,sadness,
i feel like im so distracted most days,3,anger,sadness,,sadness,,sadness,sadness
i am balancing on my hands with my feet hanging over and it feels like pretty far and im terrified to let them drop but im totally calm at the same time hanging here,4,fear,fear,fear,fear,fear,fear,fear
i was younger i used to feel homesick,0,sadness,sadness,,sadness,sadness,sadness,sadness
im feeling pretty anxious,4,fear,fear,,fear,fear,fear,fear
i feel like a bit of an ungrateful fool for not having written anything about him last week,0,sadness,sadness,,sadness,sadness,sadness,sadness
i am finally starting to feel like i have a real life here in san vicente and i am no longer on a strange confusing extended vacation,4,fear,joy,,joy,joy,joy,joy
im a big guy and ive gotten into some of the rigs that weve worked with to try them out and see what they feel like and let me tell you it was less than pleasant,1,joy,anger,,anger,anger,anger,anger
i randomly heard this and ever since then watching the video has been a delight and the music just makes me feel as jolly in reference,1,joy,joy,,joy,joy,joy,joy
i dont want flowers or candy but the kind of guy that knows i like thinly sliced limes in my mineral water because it makes me feel glamorous and is humored by how pretentious that is,1,joy,joy,,love,joy,joy,joy
i think ive just been feeling a little bothered,3,anger,sadness,,sadness,anger,sadness,anger
i feel inside coz i m so fucking horny,2,love,,,,joy,joy,joy
i feel cared for and accepted,2,love,love,,love,love,love,love
i also feel it helped the newbie bloggers connect and feel welcomed immediately,1,joy,joy,,joy,joy,joy,joy
i feel terrific in every one of them,1,joy,joy,,joy,joy,joy,joy
i wouldnt say that i suffer from social discomfort at the moment because ive found places where i feel comfortable and even people who have accepted me the way i am,1,joy,joy,,joy,joy,joy,joy
i am still healing from having my heart broken still healing from broken dreams still doubting myself still feeling confused,4,fear,sadness,,sadness,sadness,sadness,sadness
i feel calm silent and protected by the definiteness of this existence,1,joy,,,,,joy,
im in that last bit of sleep before i get up in the morning i feel like that emotional energy just waits for me,0,sadness,sadness,,sadness,sadness,fear,fear
i am feeling bitchy this evening,3,anger,anger,,anger,anger,anger,anger
i didn t mean to get angry with you bommie i just can t control my feelings hellip i just hated myself why i am like this the dara who can t get over with that b,0,sadness,sadness,,sadness,,sadness,
i feel i might have lost the potty training train,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel god in my life more now than i ever have before and things are so wonderful right now,1,joy,joy,,joy,joy,joy,joy
i feel totally completely accepted and loved while my heavenly abba was pointing out sin in my life,2,love,love,,love,love,anger,love
i wanna feel good again,1,joy,sadness,,sadness,joy,joy,joy
i enjoy about his work is the genuine feel and the pleasant message he is trying to deliver with all this,1,joy,joy,,joy,joy,joy,joy
i feel like i m finally losing that stubborn little bit of extra stuff in my lower belly,3,anger,joy,,joy,joy,joy,joy
i never draw on both sides of the pages and like to know i can add to drawings when i feel like it rather than feeling pressured that they have to be finished all in one go,4,fear,joy,,joy,sadness,joy,sadness
i feel like i entertained sd all day,1,joy,joy,,sadness,joy,joy,joy
i feel so pathetic and useless being unable to do anything,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel stupid whenever this happens,0,sadness,sadness,,sadness,sadness,sadness,sadness
i see the look of doubt on your face i feel the scorn in your eyes but for anyone skeptical of grits dinner grits please see this as a totally amazing sister to mashed potatoes,4,fear,anger,,anger,joy,joy,joy
i don t know what to feel as in i am not sure should i feel sad cause it is ending or should i feel glad that it is over and i can move on,1,joy,sadness,,sadness,sadness,sadness,
i am of snuffling and feeling dull,0,sadness,sadness,,sadness,sadness,sadness,sadness
i forgive myself that i have accepted and allowed myself to think that as i am writing this blog that someone will feel sorry for me give me some sympathy and tell me i am right,0,sadness,anger,,sadness,sadness,sadness,sadness
i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,0,sadness,joy,,sadness,,sadness,joy
i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,2,love,joy,joy,joy,joy,joy,joy
i am going to actively learn more about these genres and or practice them so i can feel what i should feel as a dancer gt fearless courageous confident phew,1,joy,joy,,joy,joy,joy,joy
i feel that poachers and others who kill animals for their pelts ivory or other parts should be punished severely i find hunting and fishing cruel,0,sadness,anger,,anger,,anger,anger
i usually ignore page invites that are irrelevant to me or facebook game invites because its impersonal and it feels insincere,3,anger,anger,,anger,anger,anger,anger
i help my daughter when she is feeling angry,3,anger,anger,,anger,,joy,anger
i were to go overseas or cross the border then i become a foreigner and will feel that way but never in my beloved land,2,love,love,,sadness,love,love,love
i will admit and it left me feeling shaken and a bit of a goose,4,fear,sadness,,sadness,,fear,fear
i feel so blessed and honored that we get to be its parents,2,love,love,,love,joy,joy,joy
i feel a little nervous i go to the gym,4,fear,anger,,fear,fear,fear,
i feel about these individuals but that opening line shows how inadequate simple words can be,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel like i m going to struggle and fail and suffer and be really dumb,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel its sad but im okay with it im happy i had done it even though it hurts a little,0,sadness,sadness,,sadness,sadness,joy,joy
i feel immensely distracted by the barrage of media i receive solicit,3,anger,anger,,anger,sadness,fear,
im feeling quite positive in what i want to achieve,1,joy,joy,,joy,joy,joy,joy
i see people who physically resemble me i feel confident to strike up conversations with strangers,1,joy,joy,,joy,joy,joy,joy
i left there feeling brow beaten,0,sadness,sadness,,sadness,,sadness,
i didn t feel pressured or constrained in my choices to behave in a particular way i just felt very busy,4,fear,sadness,,sadness,joy,joy,joy
i have no strong feelings for this book neither hated nor loved it,3,anger,,,,sadness,sadness,
i feel betrayed and angry and sad at the same time dammit,3,anger,anger,,anger,anger,anger,anger
i was learning to just deal with the nausea amp manage the unpleasantness of it at work trying to keep anyone from knowing but my sister told me there was no need to suffer amp feel miserable amp to call my dr for some zofran,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel annoyingly isolated in the hostel with all those people talking outside the room etc,0,sadness,sadness,,sadness,,anger,
i woke up i feel thankful to god for giving me another day to go on,1,joy,joy,,joy,joy,joy,joy
i feel anger i feel sad i feel joy and i feel other emotions too but will stick to a few,0,sadness,anger,,sadness,sadness,joy,anger
i feel is entirely more dangerous,3,anger,anger,,anger,,fear,
i feel it is really valuable to contemplate on that phrase thy will be done in all of our lives,1,joy,love,,love,joy,joy,
i feel like that line is so perfect,1,joy,joy,,joy,joy,joy,joy
im sure i will feel fine in the morning,1,joy,sadness,,sadness,joy,sadness,joy
i feel a bit dull by it all,0,sadness,sadness,,sadness,sadness,sadness,sadness
i wrote two years ago so many things i feel unsure of maybe,4,fear,sadness,,sadness,sadness,sadness,sadness
i feel that books are always a wonderful gift for a baby,1,joy,joy,,joy,joy,joy,joy
i said before do feel free to contact me this is something i am interested in finding out more about,1,joy,joy,,,joy,joy,joy
i blamed the people around me for making me feel less valued for being a stay at home mom,1,joy,sadness,,sadness,anger,sadness,anger
ive also had a nosy on the website and seeing as its coming up to that time of year and im feeling strangely festive for once ive picked my top five products from the a href http www,1,joy,joy,joy,joy,joy,joy,joy
i feel that the packaging is really lovely and the product itself just does everything you ask,2,love,joy,joy,joy,joy,joy,joy
i feel it is perfectly acceptable to consume homemade chex party mix for breakfast during the holidays given the fact that it is mostly cereal,1,joy,joy,,joy,joy,joy,joy
i am a quiet person but what i have to say i feel is important,1,joy,anger,,sadness,anger,joy,
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,0,sadness,love,,love,love,love,love
im upset with myself because i really feel like i have a blank years from years old,0,sadness,sadness,,sadness,sadness,sadness,sadness
i was gifted one of the books but am feeling a bit intimidated to take on the intricate work,4,fear,fear,fear,fear,fear,fear,fear
i feel that passionate about,1,joy,joy,joy,joy,love,joy,love
i still feel scared every time i go into a strange place,4,fear,fear,,fear,fear,fear,fear
i feel like i fucked up big time but i have to protect a and myself,3,anger,anger,,anger,fear,fear,fear
i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,4,fear,fear,anger,fear,fear,fear,fear
i always make things harder which im not going to lie i sometimes have a way of complicating the very simple however a new baby is a pretty big undertaking and from this comment and many many others i feel like he sees himself as being disturbed very little,0,sadness,sadness,,sadness,sadness,sadness,sadness
i still do feel left out i do feel like the most hated kid in the asian crew,3,anger,sadness,,sadness,sadness,sadness,sadness
im not sure why but im just feeling delicate,2,love,sadness,,sadness,,sadness,sadness
i can only begin to feel how distraught she must be,4,fear,sadness,,sadness,sadness,sadness,sadness
i feel kinda weird when andrea tries to talk to me about chris,4,fear,sadness,,sadness,fear,fear,fear
i didnt start feeling the excitement until the movie was almost over and then it started coming in violent waves,3,anger,joy,,anger,joy,joy,joy
i feel like it was all in vain cant be right and feel this wrong this heart of mine is just,0,sadness,sadness,,sadness,sadness,sadness,sadness
i definitely feel there s some useful information here for anyone facing similar questions to those i had during this time of my life,1,joy,joy,,sadness,joy,joy,
i look at others and feel jealous,3,anger,anger,,sadness,,sadness,anger
i am reading about s sewing circles and i feel completely happy if you cant spit in the face of imperialism at least be a lesbian,1,joy,,,joy,joy,joy,joy
i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,3,anger,sadness,,sadness,,sadness,sadness
i see on wednesday im feeling fantastic these days and i can tell im getting smaller and smaller,1,joy,joy,,joy,joy,joy,joy
i feel like we may be coming to the point in the tv series where the show is incredibly popular but sadly the writers are coming to the end of their story lines and soon there will be nothing left to keep the plot a float,1,joy,sadness,,sadness,sadness,sadness,sadness
i want to be healthy and happy so badly that the fact that i am healing and without my leg is making me feel useless not empty,0,sadness,sadness,,sadness,,sadness,sadness
i feel unprotected a class post count link href http reprogramming in process,0,sadness,,,sadness,fear,fear,
i think we were both feeling a little drained from work as well,0,sadness,sadness,,sadness,sadness,sadness,
i still feel like there is a lot left to keep me entertained,1,joy,joy,,joy,joy,joy,joy
i woke up feeling fine,1,joy,joy,joy,joy,joy,joy,joy
i rarely respond to the comments made unless i have what i feel is a very important and specific reason for doing so,1,joy,anger,,anger,,joy,
im feeling energetic,1,joy,joy,,joy,joy,joy,joy
im going through life feeling now rather than being totally numb,0,sadness,sadness,,sadness,sadness,sadness,sadness
i felt apprehensive in regards to the party oftentimes in the past other men have made me feel resentful towards them when i attended with them,3,anger,anger,,anger,fear,fear,anger
i do feel apprehensive and nervous at times about how i am performing with my modules,4,fear,fear,fear,fear,fear,fear,
i spent last night on the couch feeling like i was suffering from hypothermia while the house remained at a balmy,0,sadness,sadness,,anger,sadness,anger,sadness
i feel the most unloved and unlovable,0,sadness,sadness,,sadness,sadness,sadness,sadness
i could feel my mother s sympathetic dread as i was diagnosed,2,love,sadness,,sadness,fear,sadness,sadness
i feel so blessed to be able to share it with you all,1,joy,love,joy,joy,joy,joy,joy
i hope shes feeling generous today and treat me to japanese food or something haha have a great day,1,joy,joy,,joy,joy,joy,joy
i feel like that is where i can make my most valued input and tried to do as much as possible to ensure i did an equal part in the construction,1,joy,joy,,love,,joy,
i will admit with the joy of cooking there are also times where you feel defeated,0,sadness,joy,,sadness,joy,sadness,sadness
i want to feel less stressed,0,sadness,sadness,,sadness,,sadness,
i dare myself to do the following when i m feeling brave enough,1,joy,sadness,,fear,joy,joy,joy
i guess feelings aren t meant to be inhibited or prohibited,4,fear,sadness,,sadness,,joy,
i write this th post i feel extremely delighted to buy myself a little corner in this blogger world,1,joy,joy,joy,joy,joy,joy,joy
i feel myself falling into the pit of buying it from her i think he s for real i m just skeptical of the women,4,fear,anger,,anger,fear,fear,fear
i feel this weekend is going to be a slutty one,2,love,,,,joy,joy,joy
i decided to lay down in my bed but then i started to feel really violent like i wanted to punch and kick things except i didnt wnat to hurt anything,3,anger,anger,,anger,anger,anger,anger
i reread for comfort the familiarity of a book whose plot i already know is easier to deal with when im feeling stressed than a new to me book with all its unknowns,0,sadness,sadness,,sadness,,sadness,sadness
im just feeling emo and bitchy atm,3,anger,anger,,anger,anger,anger,anger
i don t like eating meals that feel too virtuous,1,joy,anger,,anger,anger,anger,anger
im definitely not feeling fearful or anything right now,4,fear,joy,,anger,,joy,joy
i feel embarrassed that it got so bad,0,sadness,sadness,,sadness,,sadness,sadness
im feeling slightly irritable today,3,anger,anger,,anger,anger,anger,anger
i feel no need to work up acceptable conversation fodder,1,joy,sadness,,anger,anger,anger,sadness
i personally feel that it is a very creative present and everything packed inside a brown paper bag,1,joy,joy,joy,joy,joy,joy,joy
i also know what it feels like to be in a relationship where you feel like a burden and too much and not worth loving or pursuing and its just,2,love,sadness,,sadness,sadness,sadness,sadness
ive taken yoga classes for years but for the past few days i was feeling very anxious abou,4,fear,fear,anger,fear,fear,fear,fear
i apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions,1,joy,,,sadness,,joy,sadness
i feel like ive come a long way and im proud of what ive achieved not only this week but this year as well,1,joy,joy,,joy,joy,joy,joy
i am not proud to be british i am not glad to be young and i most certainly do not feel blessed by opportunity,1,joy,sadness,,sadness,,sadness,
i feel reassured by their behavior on this matter and will definitely continue to do business with them,1,joy,joy,,joy,joy,joy,joy
i did feel things it was often just repressed fear and anxiety and distrust,0,sadness,fear,,fear,fear,fear,fear
i feel the pain in my vein its oh so vain am i insane,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel more virtuous just looking at the pictures in her books,1,joy,love,,love,joy,joy,joy
i feel like my room is messy if theyre open,0,sadness,sadness,,anger,,sadness,fear
i know that i have it nowhere near as worse as my brethren overseas but right now i feel like im being physically emotionally and spiritually assaulted,4,fear,anger,,anger,,anger,anger
i feel afraid agn lol whats new,4,fear,fear,,fear,fear,fear,fear
i have found that some korean men are turning to foreign women because of the freedom they feel it can be easily accounted for that dating between koreans can be a casual thing but more often than not it tends to be a serious matter,1,joy,anger,,anger,,sadness,
i have been feeling really stressed out due to homework and my studies that have increased rapidly over the last week,0,sadness,sadness,anger,sadness,sadness,fear,
i come in contact on a regular basis and the sooner i can figure out how to be kind to them in all situations the sooner they will feel valued appreciated loved and the desire to learn how to pass that kindness on to others as i am learning to do,1,joy,love,,love,joy,joy,
ive also been feeling somewhat emo irritable lately,3,anger,anger,,sadness,anger,anger,anger
i feel the vile rising in my throat flipping up the lid on the toilet to let it out,3,anger,anger,,anger,anger,anger,anger
i feel defeated but others i feel refreshed,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel accepted and loved by a community of derby girls that i helped to create,1,joy,love,,love,joy,joy,joy
i say i feel alone br style color line height,0,sadness,sadness,,sadness,,sadness,sadness
ive had a few rough days since then and in the midst of crying and dealing and feeling just so defeated and emotional i put my coat on and curled up and created this safety nest inside my coat,0,sadness,sadness,,sadness,sadness,sadness,sadness
i still feel confused and guilty about the whole thing,4,fear,sadness,,sadness,,sadness,sadness
is hand started fondling his aching cock through the fabric of his boxers and he instinctively arched his back to feel more of the delicious sensation,1,joy,,,,,joy,joy
i felt abandoned for what seemed like the millionth time in my life and i spent the last several days feeling sorry for myself when i should have been picking myself up in order to help my friends,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel like i m the one being punished,0,sadness,anger,,anger,sadness,sadness,sadness
i am off on wednesday to a postgraduate open day but there will be plenty to write about the rest of the week i feel sure,1,joy,joy,,joy,joy,joy,joy
i feel intimidated nervous and overwhelmed and i shake like a leaf,4,fear,fear,,fear,fear,fear,fear
i read her blog is that i feel that shes one person who doesnt care how people look at her and believes in being herself no matter how bitchy annoying or self centered that may seem to people,3,anger,anger,,anger,anger,joy,anger
i feel so safe and tucked away,1,joy,joy,,love,,joy,joy
i feel ungrateful for wanting more but the truth is,0,sadness,sadness,,sadness,sadness,sadness,sadness
i didnt want to be spending my days working in a job that i didnt enjoy or to come home feeling stressed and tired and not be able to give my daughter the attention she deserved,3,anger,sadness,,sadness,,sadness,sadness
i got home feeling hot tired and great,2,love,joy,,joy,joy,joy,joy
i was feeling as heartbroken as im sure katniss was,0,sadness,sadness,,sadness,sadness,sadness,sadness
i realized i was feeling really irritated while i was saying that,3,anger,anger,,anger,anger,anger,anger
i never feel lonely as long as people love and support my work,0,sadness,love,,love,joy,joy,joy
i feel the hearts decision to stop caring can it be reversed,2,love,sadness,,sadness,sadness,sadness,sadness
i feel thrilled that by the end of the month this round will be completed and i can begin to recover,1,joy,joy,,joy,joy,joy,joy
i feel like im working with half of my voice caleb and i make it through a really wonderful night at the comus inn,1,joy,joy,,joy,joy,joy,joy
i feel rotten remind me that your fruit won t spoil,0,sadness,sadness,,sadness,sadness,anger,
ive been feeling sort of depressed,0,sadness,sadness,,sadness,sadness,sadness,sadness
i could feel how much slower i was on the treadmill but the pace was pleasant and after six days of relative inactivity i was just happy to be running again,1,joy,joy,,joy,joy,joy,joy
i was still feeling hesitant last night but when i woke up i found that i had made my decision and that the slatebook somewhat to my own surprise was what i wanted,4,fear,joy,,joy,joy,joy,joy
i feel so drained at the end of a novel because i try my very hardest to get something from it that will change and impact my life,0,sadness,sadness,,sadness,sadness,sadness,sadness
i feel complacent and satisfied,1,joy,joy,,joy,joy,joy,joy
im feeling completely idiotic by not being ablo to contribute,0,sadness,sadness,,sadness,,sadness,sadness
i feel more creative,1,joy,joy,,joy,joy,joy,joy
im spending less especially on stuff that wont last long not bringing tons of stuff into the house and i feel more positive about my holiday gift giving,1,joy,joy,,joy,joy,joy,joy
i hear someone say we should just let gardeners be let folks do whatever they want i feel pretty aggravated,3,anger,anger,,anger,anger,anger,
ive come to feel about a supporting character in one of my all time favorite films giant,1,joy,sadness,,sadness,sadness,joy,sadness
i decided to actually paint this piece in a common canvas because painting in canvas make me feel very artistic,1,joy,joy,,joy,love,joy,joy
i cant help but think if id just shut up if id just not made a big deal of what was essentially two adults meeting at the same table for a hot beverage then perhaps i wouldnt have spent the bulk of the weekend feeling like a stupid shit,0,sadness,sadness,,sadness,sadness,sadness,anger
im feeling so embarrassed frightened that i wouldve smashed the window and slid in dukes of hazzard style if it would get garage man to stop glaring at me,0,sadness,anger,,anger,fear,fear,fear
i could adopt and what messages i could think about to help make me feel more peaceful more grateful and just happier right now,1,joy,sadness,,sadness,joy,joy,joy
